time,E,T,I,N
12.29,5.002058549385085,0.8195047771598035,0.0001900000000196,1.4996128130140447
12.3,5.023267552637922,0.8194853367037767,0.0001900000000191,1.4996153854906844
12.31,5.044520552606726,0.8193193382227592,0.0001900000000186,1.4996179408811487
12.32,5.065812088702101,0.8190067968087468,0.0001900000000179,1.4996204793000116
12.33,5.087136616052385,0.818547844626326,0.000190000000017,1.4996230008611688
12.34,5.108488507757075,0.8179427326169388,0.000190000000016,1.4996255056778451
12.35,5.129862052224711,0.8171918271612181,0.0001900000000148,1.4996279938626025
12.36,5.151251455432398,0.81629561118357,0.0001900000000135,1.4996304655273474
12.37,5.172650842036431,0.8152546838315541,0.0001900000000119,1.4996329207833392
12.38,5.194054256502035,0.8140697598481293,0.0001900000000102,1.4996353597411969
12.39,5.215455664347565,0.8127416687195864,0.0001900000000084,1.499637782510907
12.4,5.23684895396961,0.8112713547319291,0.0001900000000063,1.4996401892018327
12.41,5.258227939963788,0.8096598801703038,0.000190000000004,1.4996425799227195
12.42,5.279586362023713,0.8079084170985464,0.0001900000000015,1.4996449547817043
12.43,5.300917887616899,0.8060182478619358,0.0001899999999988,1.4996473137204742
12.44,5.32221611417923,0.8039907638293096,0.000189999999998,1.4996496569531603
12.45,5.343474571273957,0.8018274634566651,0.0001899999999975,1.4996519846143264
12.46,5.364686722905531,0.7995299501259493,0.000189999999997,1.4996542968076372
12.47,5.385845970045392,0.7970999303757128,0.0001899999999965,1.4996565936361068
12.48,5.406945653760387,0.7945392170604583,0.000189999999996,1.4996588752021065
12.49,5.4279790575305,0.7918497207829792,0.0001899999999954,1.4996611416073689
12.5,5.448939410327632,0.7890334480090045,0.0001899999999949,1.4996633929529972
12.51,5.469819889896774,0.7860924992485986,0.0001899999999943,1.4996656293394692
12.52,5.4906136261508,0.7830290662078856,0.0001899999999936,1.499667850866645
12.53,5.511313704564098,0.7798454287437165,0.000189999999993,1.4996700576337727
12.54,5.531913168743404,0.7765439514643927,0.0001899999999923,1.4996722497394954
12.55,5.552405025759346,0.7731270806619811,0.0001899999999917,1.4996744272818572
12.56,5.572782249929652,0.7695973407524324,0.000189999999991,1.4996765903583098
12.57,5.593037786937357,0.7659573305838885,0.0001899999999903,1.4996787390657185
12.58,5.613164558286348,0.7622097196138822,0.0001899999999896,1.4996808735003695
12.59,5.633155465531066,0.7583572450217463,0.0001899999999889,1.4996829937579756
12.6,5.653003393305726,0.7544027122658665,0.0001899999999882,1.4996850999336824
12.61,5.672701216659428,0.7503489849736189,0.0001899999999875,1.4996871921220751
12.62,5.692241805486956,0.7461989826660254,0.0001899999999868,1.4996892704171851
12.63,5.711618029627254,0.7419556771660832,0.0001899999999861,1.4996913349124965
12.64,5.73082276431032,0.737622088519657,0.0001899999999854,1.499693385700951
12.65,5.749848895115646,0.7332012811545356,0.0001899999999847,1.4996954228749564
12.66,5.768689321817435,0.7286963605672007,0.000189999999984,1.499697446526392
12.67,5.787336967166088,0.724110467800299,0.0001899999999834,1.4996994567466146
12.68,5.805784781909384,0.7194467756606259,0.0001899999999827,1.499701453626466
12.69,5.824025750793722,0.7147084845342604,0.0001899999999821,1.4997034372562783
12.7,5.842052898854334,0.7098988181184572,0.0001899999999816,1.499705407725881
12.71,5.859859296358216,0.7050210199056006,0.000189999999981,1.4997073651246065
12.72,5.87743806251204,0.7000783503680518,0.0001899999999805,1.4997093093521126
12.73,5.894782376892402,0.6950740802709937,0.00018999999998,1.4997112405935034
12.74,5.911885484109857,0.690011487526174,0.0001899999999796,1.4997131589964143
12.75,5.928740700278508,0.6848938532107747,0.0001899999999792,1.4997150646463244
12.76,5.945341419709633,0.6797244575661128,0.0001899999999789,1.4997169576281866
12.77,5.961681119930398,0.6745065762075534,0.0001899999999787,1.4997188380264326
12.78,5.97775336649072,0.6692434764231264,0.0001899999999785,1.4997207059249789
12.79,5.99355182396161,0.6639384129980709,0.0001899999999784,1.4997225614072325
12.8,6.009070260769502,0.6585946246742818,0.0001899999999783,1.4997244045560958
12.81,6.024302555784964,0.6532153305468754,0.0001899999999784,1.4997262354539729
12.82,6.039242704978618,0.6478037265560957,0.0001899999999785,1.4997280541827744
12.83,6.053884825850452,0.6423629819810746,0.0001899999999787,1.4997298608239236
12.84,6.068223162792147,0.636896236095891,0.0001899999999791,1.4997316554583613
12.85,6.082252097364285,0.6314065951878054,0.0001899999999795,1.499733438166552
12.86,6.0959661526934426,0.6258971294287743,0.0001899999999801,1.4997352090284894
12.87,6.109359999574432,0.6203708699729626,0.0001899999999807,1.4997369681237014
12.88,6.122428462493144,0.6148308062035528,0.0001899999999815,1.4997387155312565
12.89,6.135166523611147,0.6092798820899543,0.0001899999999825,1.4997404513297676
12.9,6.147569328354138,0.6037209936421108,0.0001899999999836,1.4997421755974003
12.91,6.159632193157662,0.5981569877758247,0.0001899999999848,1.499743888411876
12.92,6.171350609512829,0.5925906594313791,0.0001899999999862,1.4997455898504786
12.93,6.18272024900028,0.5870247494986287,0.0001899999999877,1.4997472799900593
12.94,6.193736968115424,0.5814619429100243,0.0001899999999894,1.4997489589070434
12.95,6.204396811928088,0.5759048652431906,0.0001899999999914,1.4997506266774343
12.96,6.214696018689529,0.5703560815935913,0.0001899999999914,1.4997522833768202
12.97,6.224631024585001,0.5648180963325328,0.000189999999991,1.4997539290803792
12.98,6.234198467048945,0.5592933509869655,0.0001899999999905,1.4997555638628846
12.99,6.243395188218915,0.5537842230538987,0.0001899999999901,1.4997571877987108
13.0,6.252218238099909,0.5482930249608118,0.0001899999999896,1.4997588009618392
13.01,6.2606648783483845,0.542822000844022,0.0001899999999892,1.4997604034258625
13.02,6.26873258430909,0.5373733270919226,0.0001899999999887,1.4997619952639911
13.03,6.276419046820674,0.5319491127926382,0.0001899999999883,1.4997635765490596
13.04,6.28372217444953,0.5265513983890672,0.0001899999999879,1.4997651473535296
13.05,6.2906400950359735,0.5211821553285262,0.0001899999999874,1.4997667077494987
13.06,6.297171156973469,0.5158432857956093,0.000189999999987,1.4997682577154134
13.07,6.303313933168166,0.5105366201037801,0.0001899999999866,1.4997697971742678
13.08,6.309067219303149,0.5052639186036756,0.0001899999999861,1.499771326398926
13.09,6.314430033344056,0.5000268724131214,0.0001899999999857,1.4997728454576935
13.1,6.319401616296581,0.4948271029518953,0.0001899999999853,1.499774354418462
13.11,6.323981431727721,0.4896661623126901,0.000189999999985,1.49977585334871
13.12,6.328169165191207,0.4845455336296576,0.0001899999999846,1.4997773423155123
13.13,6.331964728097258,0.4794666292687798,0.0001899999999842,1.4997788213855408
13.14,6.335368251775761,0.4744307936499351,0.0001899999999839,1.49978029062507
13.15,6.338380085452366,0.4694393041354745,0.0001899999999836,1.4997817500999815
13.16,6.341000795312546,0.4644933713314197,0.0001899999999833,1.4997831998757694
13.17,6.343231162115331,0.4595941400103541,0.000189999999983,1.4997846400175423
13.18,6.345072179010786,0.4547426899640132,0.0001899999999827,1.4997860705900312
13.19,6.346525054622783,0.4499400352563906,0.0001899999999825,1.4997874916575906
13.2,6.347591203580885,0.4451871272433966,0.0001899999999823,1.4997889032842049
13.21,6.348272243616189,0.4404848555943131,0.0001899999999821,1.4997903055334918
13.22,6.348569992921672,0.4358340492099838,0.000189999999982,1.4997916984687083
13.23,6.3484864661790645,0.4312354775157241,0.0001899999999818,1.4997930821527543
13.24,6.348023871119203,0.4266898516619056,0.0001899999999818,1.499794456648176
13.25,6.347184609958011,0.4221978248255071,0.0001899999999817,1.4997958220171714
