,E,T,N
41.27,0.8333333333307187,4.543906765989831e-11,1.500000000300452
41.28,0.833333333330743,4.496128672923696e-11,1.5000000002993241
41.29,0.8333333333307678,4.4478446658382646e-11,1.5000000002981915
41.300000000000004,0.8333333333307927,4.399053294554593e-11,1.5000000002970542
41.31,0.833333333330818,4.349753108893841e-11,1.5000000002959122
41.32,0.8333333333308436,4.2999426586770667e-11,1.5000000002947655
41.33,0.8333333333308695,4.249620493725362e-11,1.5000000002936142
41.34,0.8333333333308957,4.19878516385978e-11,1.5000000002924583
41.35,0.8333333333309221,4.147435218901486e-11,1.5000000002912977
41.36,0.8333333333309488,4.0955692086715355e-11,1.5000000002901326
41.37,0.8333333333309758,4.04318568299102e-11,1.5000000002889626
41.38,0.8333333333310032,3.990283191680993e-11,1.5000000002877882
41.39,0.8333333333310309,3.9368602845626207e-11,1.500000000286609
41.4,0.8333333333310589,3.882915511456959e-11,1.5000000002854252
41.410000000000004,0.8333333333310871,3.828447422185058e-11,1.5000000002842369
41.42,0.8333333333311156,3.773454566568088e-11,1.5000000002830438
41.43,0.8333333333311445,3.7179354944271023e-11,1.500000000281846
41.44,0.8333333333311737,3.661888755583192e-11,1.5000000002806437
41.45,0.8333333333312031,3.605312899857408e-11,1.500000000279437
41.46,0.8333333333312328,3.548206477070921e-11,1.5000000002782252
41.47,0.8333333333312629,3.490568037044785e-11,1.500000000277009
41.480000000000004,0.8333333333312933,3.432396129600049e-11,1.500000000275788
41.49,0.833333333331324,3.373689304557886e-11,1.5000000002745626
41.5,0.833333333331355,3.3144461117393484e-11,1.5000000002733325
41.51,0.8333333333313863,3.2546651009655265e-11,1.5000000002720977
41.52,0.8333333333314179,3.194344822057468e-11,1.5000000002708582
41.53,0.8333333333314498,3.1334838248363516e-11,1.5000000002696143
41.54,0.8333333333314821,3.072080659123225e-11,1.5000000002683656
41.550000000000004,0.8333333333315146,3.0101338747391367e-11,1.5000000002671123
41.56,0.8333333333315475,2.947642021505265e-11,1.5000000002658544
41.57,0.8333333333315807,2.884603649242658e-11,1.500000000264592
41.58,0.8333333333316141,2.821017307772407e-11,1.5000000002633247
41.59,0.8333333333316479,2.7568815469155585e-11,1.5000000002620528
41.6,0.833333333331682,2.6921949164932944e-11,1.5000000002607765
41.61,0.8333333333317166,2.6269559663266613e-11,1.5000000002594953
41.62,0.8333333333317513,2.56116324623675e-11,1.5000000002582097
41.63,0.8333333333317864,2.494815306044606e-11,1.5000000002569194
41.64,0.8333333333318218,2.427910695571413e-11,1.5000000002556246
41.65,0.8333333333318574,2.3604479646382178e-11,1.500000000254325
41.660000000000004,0.8333333333318935,2.292425663066062e-11,1.500000000253021
41.67,0.8333333333319299,2.223842340676134e-11,1.500000000251712
41.68,0.8333333333319666,2.1546965472894773e-11,1.5000000002503986
41.69,0.8333333333320037,2.0849868327271834e-11,1.5000000002490808
41.7,0.833333333332041,2.0147117468102936e-11,1.500000000247758
41.71,0.8333333333320786,1.9438698393599995e-11,1.5000000002464309
41.72,0.8333333333321167,1.8724596601973425e-11,1.5000000002450988
41.730000000000004,0.833333333332155,1.8004797591433627e-11,1.5000000002437626
41.74,0.8333333333321936,1.727928686019254e-11,1.5000000002424214
41.75,0.8333333333322326,1.6548049906460577e-11,1.5000000002410756
41.76,0.8333333333322719,1.581107222844864e-11,1.5000000002397254
41.77,0.8333333333323115,1.5068339324367122e-11,1.5000000002383704
41.78,0.8333333333323516,1.4319836692427992e-11,1.5000000002370109
41.79,0.8333333333323919,1.356554983084164e-11,1.5000000002356468
41.800000000000004,0.8333333333324325,1.2805464237818439e-11,1.500000000234278
41.81,0.8333333333324735,1.2039565411570383e-11,1.5000000002329046
41.82,0.8333333333325148,1.126783885030785e-11,1.5000000002315266
41.83,0.8333333333325565,1.0490270052241751e-11,1.5000000002301441
41.84,0.8333333333325985,9.706844515582448e-12,1.500000000228757
41.85,0.8333333333326408,8.917547738541966e-12,1.500000000227365
41.86,0.8333333333326836,8.122365219330667e-12,1.5000000002259688
41.87,0.8333333333327265,7.321282456159464e-12,1.5000000002245677
41.88,0.8333333333327698,6.5142849472386995e-12,1.5000000002231622
