,E,T
2.66,3.5677570555402243,9.661427524161583
2.67,3.5820681731797555,9.62796429206438
2.68,3.596567157989429,9.594022068251524
2.69,3.611257850106784,9.559599533780808
2.7,3.626144145198383,9.524695253937203
2.71,3.6412299961493066,9.489307682657502
2.72,3.6565194146387534,9.453435169752792
2.73,3.6720164729,9.417075963894932
2.74,3.687725305484968,9.380228215616112
2.75,3.703650110918734,9.342889983033082
2.7600000000000002,3.719795153405964,9.305059236479813
2.77,3.7361647645420564,9.266733863168003
2.7800000000000002,3.752763344803626,9.227911672601959
2.79,3.769595364894023,9.188590402510119
2.8000000000000003,3.7866653681504303,9.148767721433614
2.81,3.8039779719467015,9.108441234592975
2.82,3.8215378693557547,9.067608488989931
2.83,3.8393498308268006,9.02626697853281
2.84,3.857418705770909,8.984414149472178
2.85,3.8757494233179486,8.942047408025394
2.86,3.8943469949266465,8.899164123376421
2.87,3.9132165158893573,8.855761633577798
2.88,3.932363166757175,8.811837251751864
2.89,3.951792214904847,8.76738827203821
2.9,3.9715090160791773,8.722411975687704
2.91,3.9915190147617206,8.676905638755635
2.92,4.011827745900297,8.630866538239715
2.93,4.032440837384338,8.58429195744219
2.94,4.053364010767632,8.537179193650486
2.95,4.074603082574124,8.489525565252952
2.96,4.096163965564767,8.441328419065238
2.97,4.118052669139865,8.39258513850385
2.98,4.140275298432837,8.343293152952574
2.99,4.1628380589396095,8.293449943108536
3.0,4.185747256170172,8.243053050333534
3.0100000000000002,4.209009296342093,8.192100085426183
3.02,4.232630687149766,8.140588737558812
3.0300000000000002,4.256618038457728,8.088516783501673
3.04,4.280978060819859,8.035882098233389
3.0500000000000003,4.305717561793878,7.982682666961178
3.06,4.330843454050544,7.928916591277634
3.0700000000000003,4.356362752358998,7.874582101381317
3.08,4.382282573150315,7.819677567242604
3.09,4.408610134188102,7.76420151000761
3.1,4.435352754088553,7.708152613781856
3.11,4.462517848290062,7.651529738268639
3.12,4.490112922948041,7.594331932069952
3.13,4.5181455846359,7.53655844421323
3.14,4.546623534218706,7.478208738241865
3.15,4.575554564624614,7.419282506180491
3.16,4.604946558620699,7.359779682917417
3.17,4.6348074863225674,7.299700461051114
3.18,4.66514539654022,7.239045305302994
3.19,4.695968406814138,7.1778149672581
3.2,4.727284715869374,7.116010504107702
3.21,4.759102592136965,7.053633294253553
3.22,4.791430368512288,6.990685054441893
3.23,4.824276436952356,6.927167857452441
