,E,T,I
27.16,5.940637495071075,-1.3144739154961915e-15,0.00018999999999934667
27.17,5.940744149156458,-2.5667776037348177e-15,0.00018999999999933388
27.18,5.940850625780921,-3.899234889303827e-15,0.00018999999999932195
27.19,5.940956925241298,-5.314754330014203e-15,0.0001899999999993109
27.2,5.941063047833993,-6.816308034301703e-15,0.00018999999999930086
27.21,5.9411689938549825,-8.406932329373989e-15,0.00018999999999929192
27.22,5.941274763599812,-1.008972842934949e-14,0.00018999999999928414
27.23,5.9413803573636015,-1.186786310340502e-14,0.0001899999999992776
27.240000000000002,5.94148577544105,-1.37445693439148e-14,0.00018999999999927243
27.25,5.941591017874369,-1.4772313802250554e-14,0.00018999999999925812
27.26,5.941696085027022,-1.521705186335543e-14,0.00018999999999923768
27.27,5.941800977337392,-1.5628995121805062e-14,0.00018999999999921732
27.28,5.941905695096857,-1.6005461005929838e-14,0.00018999999999919708
27.29,5.942010238596339,-1.6343689670625203e-14,0.000189999999999177
27.3,5.9421146081263085,-1.6640843147150906e-14,0.0001899999999991571
27.310000000000002,5.942218803976783,-1.6894004492927906e-14,0.00018999999999913745
27.32,5.94232282643733,-1.7100176941337107e-14,0.00018999999999911804
27.330000000000002,5.942426675797068,-1.7256283051517263e-14,0.00018999999999909898
27.34,5.942530352344668,-1.7359163858162633e-14,0.00018999999999908028
27.35,5.942633856368353,-1.7405578021321395e-14,0.000189999999999062
27.36,5.942737188155904,-1.739220097619338e-14,0.0001899999999990442
27.37,5.9428403479946565,-1.7315624082928228e-14,0.0001899999999990269
27.38,5.942943336171504,-1.7172353776423336e-14,0.0001899999999990102
27.39,5.943046152972896,-1.6958810716121793e-14,0.00018999999999899411
27.400000000000002,5.94314879868485,-1.6671328935810553e-14,0.00018999999999897872
27.41,5.943251273592936,-1.6306154993418464e-14,0.00018999999999896406
27.42,5.943353577982293,-1.5859447120813795e-14,0.00018999999999895023
27.43,5.943455712137623,-1.532727437360317e-14,0.00018999999999893725
27.44,5.943557676343193,-1.470561578092828e-14,0.00018999999999892521
27.45,5.943659470882838,-1.3990359495265485e-14,0.00018999999999891418
27.46,5.943761096039959,-1.3177301942222016e-14,0.00018999999999890423
27.47,5.9438625520975314,-1.2262146970336004e-14,0.0001899999999988954
27.48,5.943963839338097,-1.1240505000872179e-14,0.0001899999999988878
27.490000000000002,5.944064958043772,-1.0107892177622024e-14,0.00018999999999888152
27.5,5.944165908496247,-8.85972951670112e-15,0.0001899999999988766
27.51,5.944266690976786,-7.491342056345393e-15,0.0001899999999988731
27.52,5.944367305766231,-5.997958006712627e-15,0.00018999999999887114
27.53,5.944467753145,-4.374707899676352e-15,0.00018999999999887081
27.54,5.944568033393093,-2.616623738628213e-15,0.00018999999999887217
27.55,5.944668146790089,-7.18638148271312e-16,0.0001899999999988753
27.560000000000002,5.944768093615146,1.3244164755775268e-15,0.00018999999999888035
27.57,5.944867874147009,3.51780881619138e-15,0.00018999999999888735
27.580000000000002,5.944967488664007,5.866909486137804e-15,0.00018999999999889643
27.59,5.945066937444054,8.377191877475196e-15,0.00018999999999890768
27.6,5.94516622076465,1.1054233011961557e-14,0.00018999999999892118
27.61,5.945265338902885,1.3903714391249232e-14,0.00018999999999893703
27.62,5.94536429213544,1.693142284709463e-14,0.00018999999999895538
27.63,5.945463080738584,2.0143251391552e-14,0.0001899999999989763
27.64,5.945561704988181,2.3545200067184138e-14,0.00018999999999899992
27.650000000000002,5.94566016515969,2.7143376797256515e-14,0.00018999999999902634
27.66,5.94575846152816,3.094399823594235e-14,0.00018999999999905564
27.67,5.945856594368243,3.495339061852903e-14,0.000189999999999088
27.68,5.945954563954184,3.917799061161041e-14,0.00018999999999912351
27.69,5.946052370559832,4.362434616330024e-14,0.0001899999999991623
27.7,5.94615001445863,4.829911735342215e-14,0.00018999999999920448
27.71,5.94624749592363,5.320907724372426e-14,0.00018999999999925018
27.72,5.946344814925588,5.622158617061354e-14,0.00018999999999927435
27.73,5.946441971782087,5.76648648691176e-14,0.0001899999999992809
27.740000000000002,5.946538966973271,5.902212332141905e-14,0.00018999999999928736
27.75,5.946635800768496,6.028561557606667e-14,0.00018999999999929368
27.76,5.9467324734366755,6.144735720741576e-14,0.0001899999999992998
27.77,5.9468289852462854,6.249912248605033e-14,0.0001899999999993057
27.78,5.94692533646536,6.34324415492117e-14,0.00018999999999931133
27.79,5.947021527361493,6.423859757122136e-14,0.00018999999999931664
27.8,5.947117558201841,6.490862393390832e-14,0.0001899999999993216
27.810000000000002,5.947213429253124,6.543330139703285e-14,0.00018999999999932618
